Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2012-13,24,GSW,NBA,PG,12,12,497,10.5,24.1,.434,4.3,10.9,.396,6.2,13.3,.465,3.6,3.9,.921,0.5,4.2,4.7,10.0,2.1,0.2,4.1,3.6,28.9,113,108
2013-14,25,GSW,NBA,PG,7,7,296,8.6,19.5,.440,3.7,9.6,.386,4.9,9.9,.492,6.2,7.1,.881,0.7,3.5,4.2,9.9,2.0,0.2,4.4,3.0,27.0,119,116
2014-15,26,GSW,NBA,PG,21,21,826,12.4,27.2,.456,6.1,14.4,.422,6.3,12.8,.493,6.0,7.1,.835,1.2,5.3,6.5,8.3,2.4,0.2,5.1,2.9,36.9,114,102
2015-16,27,GSW,NBA,PG,18,17,614,11.9,27.2,.438,6.4,16.0,.404,5.5,11.3,.486,6.1,6.7,.916,1.1,6.8,8.0,7.5,2.1,0.4,6.0,3.1,36.4,109,106
2016-17,28,GSW,NBA,PG,17,17,601,12.0,24.8,.484,5.7,13.7,.419,6.3,11.1,.564,8.2,9.1,.904,1.8,6.7,8.4,9.1,2.7,0.3,4.6,2.9,38.0,125,105
2017-18,29,GSW,NBA,PG,15,14,555,12.3,27.3,.451,5.7,14.5,.395,6.5,12.7,.514,4.0,4.2,.957,0.8,7.4,8.2,7.3,2.3,1.0,3.9,3.4,34.3,112,103
2018-19,30,GSW,NBA,PG,22,22,846,11.0,24.9,.441,5.3,14.1,.377,5.7,10.8,.524,8.6,9.1,.943,1.0,6.7,7.6,7.3,1.4,0.2,3.8,3.9,35.9,121,114
2021-22,33,GSW,NBA,PG,22,18,764,13.1,28.5,.459,5.9,14.8,.397,7.2,13.6,.526,6.9,8.3,.829,0.7,6.7,7.4,8.3,1.9,0.5,3.7,3.8,38.9,119,110
2022-23,34,GSW,NBA,PG,13,13,493,14.0,30.0,.466,5.5,15.1,.363,8.5,14.8,.571,4.7,5.6,.845,0.9,5.6,6.5,7.6,1.3,0.6,4.0,3.3,38.2,115,114
