Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,21,GSW,NBA,PG,80,77,36.2,6.6,14.3,.462,2.1,4.8,.437,4.5,9.5,.474,.535,2.2,2.5,.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,ROY-2
2010-11,22,GSW,NBA,PG,74,74,33.6,6.8,14.2,.480,2.0,4.6,.442,4.8,9.6,.498,.551,2.9,3.1,.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6,
2011-12,23,GSW,NBA,PG,26,23,28.2,5.6,11.4,.490,2.1,4.7,.455,3.5,6.7,.514,.583,1.5,1.8,.809,0.6,2.8,3.4,5.3,1.5,0.3,2.5,2.4,14.7,
2012-13,24,GSW,NBA,PG,78,78,38.2,8.0,17.8,.451,3.5,7.7,.453,4.5,10.1,.449,.549,3.4,3.7,.900,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9,MVP-11,MIP-8
2013-14,25,GSW,NBA,PG,78,78,36.5,8.4,17.7,.471,3.3,7.9,.424,5.0,9.8,.509,.566,3.9,4.5,.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,MVP-6,NBA2,AS
2014-15,26,GSW,NBA,PG,80,80,32.7,8.2,16.8,.487,3.6,8.1,.443,4.6,8.7,.528,.594,3.9,4.2,.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,MVP-1,NBA1,AS
2015-16,27,GSW,NBA,PG,79,79,34.2,10.2,20.2,.504,5.1,11.2,.454,5.1,9.0,.566,.630,4.6,5.1,.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,MVP-1,NBA1,AS,MIP-4
2016-17,28,GSW,NBA,PG,79,79,33.4,8.5,18.3,.468,4.1,10.0,.411,4.4,8.3,.537,.580,4.1,4.6,.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,MVP-6,NBA2,AS
2017-18,29,GSW,NBA,PG,51,51,32.0,8.4,16.9,.495,4.2,9.8,.423,4.2,7.1,.595,.618,5.5,5.9,.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,MVP-10,NBA3,AS
2018-19,30,GSW,NBA,PG,69,69,33.8,9.2,19.4,.472,5.1,11.7,.437,4.0,7.7,.525,.604,3.8,4.2,.916,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3,MVP-5,NBA1,AS
2019-20,31,GSW,NBA,PG,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,
2020-21,32,GSW,NBA,PG,63,63,34.2,10.4,21.7,.482,5.3,12.7,.421,5.1,9.0,.569,.605,5.7,6.3,.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,1.9,32.0,MVP-3,NBA1,AS
2021-22,33,GSW,NBA,PG,64,64,34.5,8.4,19.1,.437,4.5,11.7,.380,3.9,7.4,.527,.554,4.3,4.7,.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5,MVP-8,NBA2,AS
2022-23,34,GSW,NBA,PG,56,56,34.7,10.0,20.2,.493,4.9,11.4,.427,5.1,8.8,.579,.614,4.6,5.0,.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,MVP-9,NBA2,AS,CPOY-9
2023-24,35,GSW,NBA,PG,74,74,32.7,8.8,19.5,.450,4.8,11.8,.408,4.0,7.7,.515,.573,4.0,4.4,.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,AS
